iter	Passed	Remaining
0	439	439327
1	586	292872
2	698	232151
3	808	201426
4	989	196935
5	1136	188271
6	1273	180617
7	1401	173802
8	1524	167880
9	1652	163636
10	1781	160206
11	1909	157219
12	2031	154261
13	2154	151742
14	2301	151163
15	2436	149873
16	2572	148767
17	2726	148742
18	2891	149295
19	3024	148223
20	3152	146988
21	3279	145797
22	3405	144675
23	3540	143963
24	3668	143088
25	3774	141381
26	3870	139491
27	3973	137945
28	4091	136991
29	4191	135523
30	4299	134384
31	4395	132951
32	4520	132475
33	4872	138438
34	5178	142776
35	5299	141913
36	5429	141301
37	5544	140356
38	5678	139933
39	5792	139020
40	5908	138208
41	6014	137193
42	6111	136006
43	6232	135416
44	6332	134391
45	6450	133784
46	6561	133038
47	6664	132182
48	6775	131501
49	6896	131037
50	7003	130324
51	7104	129527
52	7205	128747
53	7287	127666
54	7376	126739
55	7462	125794
56	7560	125076
57	7652	124288
58	7742	123487
59	7845	122912
60	7957	122498
61	8049	121774
62	8151	121238
63	8249	120645
64	8339	119955
65	8443	119486
66	8530	118790
67	8623	118193
68	8721	117674
69	8810	117047
70	8905	116524
71	9001	116022
72	9105	115622
73	9199	115117
74	9297	114665
75	9386	114118
76	9488	113740
77	9583	113283
78	9707	113176
79	9833	113083
80	9937	112746
81	10051	112523
82	10147	112108
83	10242	111695
84	10363	111554
85	10678	113495
86	10948	114891
87	11060	114628
88	11164	114276
89	11277	114030
90	11413	114013
91	11507	113572
92	11615	113281
93	11720	112962
94	11816	112569
95	11914	112194
96	12010	111811
97	12104	111406
98	12210	111130
99	12328	110953
100	12423	110582
101	12549	110488
102	12654	110201
103	12770	110020
104	12886	109839
105	13067	110214
106	13300	111003
107	13430	110923
108	13559	110835
109	13684	110716
110	13831	110780
111	13983	110866
112	14127	110897
113	14301	111147
114	14468	111345
115	14623	111438
116	14764	111430
117	14887	111275
118	15001	111062
119	15149	111096
120	15274	110963
121	15374	110649
122	15483	110399
123	15627	110403
124	15738	110171
125	15932	110512
126	16047	110312
127	16178	110213
128	16295	110026
129	16420	109889
130	16558	109839
131	16695	109785
132	16825	109681
133	16965	109641
134	17074	109402
135	17178	109135
136	17355	109329
137	17506	109350
138	17687	109563
139	17823	109488
140	17927	109218
141	18188	109901
142	18435	110485
143	18844	112022
144	19114	112711
145	19297	112879
146	19444	112829
147	19602	112849
148	19742	112756
149	19900	112766
150	20033	112641
151	20190	112642
152	20335	112577
153	20473	112470
154	20618	112404
155	20750	112267
156	20870	112064
157	20997	111897
158	21104	111626
159	21234	111482
160	21337	111191
161	21465	111037
162	21589	110862
163	21712	110682
164	21816	110406
165	21929	110175
166	22045	109964
167	22152	109707
168	22252	109419
169	22363	109188
170	22463	108904
171	22593	108765
172	22713	108580
173	22836	108406
174	22956	108222
175	23089	108101
176	23216	107948
177	23335	107762
178	23462	107613
179	23564	107348
180	23700	107241
181	23814	107032
182	23917	106779
183	24031	106575
184	24136	106332
185	24263	106185
186	24397	106071
187	24510	105866
188	24619	105642
189	24735	105449
190	24841	105220
191	24941	104962
192	25049	104742
193	25158	104525
194	25281	104369
195	25384	104129
196	25495	103923
197	25620	103777
198	25786	103794
199	25882	103528
200	26020	103434
201	26153	103321
202	26263	103113
203	26388	102965
204	26501	102774
205	26620	102606
206	26749	102474
207	26886	102376
208	26996	102172
209	27105	101967
210	27210	101751
211	27304	101490
212	27418	101305
213	27548	101182
214	27667	101019
215	27794	100884
216	27912	100715
217	28033	100560
218	28147	100381
219	28256	100183
220	28377	100027
221	28466	99760
222	28584	99597
223	28703	99435
224	28814	99249
225	28933	99090
226	29052	98931
227	29166	98756
228	29278	98576
229	29435	98546
230	29549	98371
231	29660	98185
232	29781	98035
233	29947	98033
234	30064	97870
235	30168	97662
236	30274	97467
237	30387	97290
238	30496	97104
239	30607	96924
240	30732	96789
241	30857	96651
242	30964	96461
243	31090	96329
244	31187	96107
245	31293	95916
246	31396	95714
247	31529	95605
248	31643	95437
249	31741	95225
250	31852	95049
251	31956	94854
252	32082	94725
253	32188	94537
254	32295	94352
255	32398	94159
256	32511	93992
257	32629	93841
258	32742	93676
259	32838	93462
260	32958	93318
261	33076	93170
262	33185	92996
263	33309	92863
264	33414	92678
265	33520	92496
266	33622	92305
267	33741	92159
268	33859	92012
269	33973	91855
270	34108	91754
271	34304	91815
272	34412	91641
273	34522	91471
274	34640	91323
275	34788	91256
276	34895	91080
277	34988	90870
278	35136	90801
279	35247	90635
280	35355	90464
281	35452	90266
282	35566	90109
283	35674	89940
284	35787	89782
285	35899	89624
286	36007	89453
287	36119	89294
288	36235	89146
289	36348	88990
290	36460	88834
291	36577	88688
292	36682	88514
293	36801	88373
294	36937	88274
295	37030	88071
296	37155	87947
297	37260	87775
298	37373	87622
299	37484	87464
300	37594	87305
301	37714	87167
302	37820	87000
303	37942	86869
304	38046	86697
305	38155	86534
306	38260	86366
307	38372	86214
308	38486	86064
309	38593	85900
310	38705	85749
311	38809	85579
312	38939	85467
313	39043	85299
314	39172	85183
315	39283	85031
316	39387	84862
317	39508	84733
318	39608	84557
319	39709	84381
320	39811	84211
321	39953	84125
322	40052	83949
323	40155	83781
324	40257	83611
325	40358	83439
326	40453	83257
327	40560	83100
328	40666	82940
329	40782	82800
330	40901	82668
331	41020	82534
332	41137	82399
333	41246	82245
334	41364	82111
335	41471	81954
336	41573	81790
337	41672	81618
338	41768	81441
339	41900	81335
340	41999	81166
341	42154	81103
342	42283	80992
343	42430	80914
344	42534	80754
345	42628	80574
346	42776	80499
347	42918	80410
348	43033	80271
349	43168	80170
350	43270	80007
351	43411	79916
352	43635	79977
353	43748	79834
354	43911	79782
355	44027	79645
356	44168	79553
357	44298	79441
358	44428	79328
359	44552	79205
360	44685	79096
361	44817	78986
362	45010	78984
363	45199	78974
364	45336	78872
365	45467	78760
366	45578	78614
367	45697	78479
368	45819	78352
369	45938	78220
370	46066	78102
371	46189	77976
372	46330	77879
373	46442	77735
374	46531	77552
375	46647	77415
376	46772	77292
377	46860	77109
378	47027	77056
379	47215	77035
380	47391	76994
381	47513	76867
382	47613	76703
383	47741	76584
384	47843	76425
385	48000	76353
386	48111	76208
387	48227	76069
388	48334	75918
389	48441	75766
390	48555	75628
391	48670	75489
392	48790	75358
393	48895	75205
394	48992	75038
395	49104	74896
396	49212	74748
397	49328	74612
398	49445	74478
399	49570	74355
400	49676	74204
401	49800	74080
402	49902	73924
403	50005	73770
404	50125	73640
405	50219	73473
406	50335	73338
407	50443	73192
408	50591	73103
409	50738	73013
410	50906	72952
411	51019	72813
412	51135	72679
413	51250	72542
414	51373	72417
415	51543	72358
416	51668	72236
417	51791	72111
418	51920	71995
419	52173	72048
420	52355	72003
421	52549	71974
422	52685	71865
423	52807	71738
424	52938	71622
425	53067	71503
426	53183	71367
427	53284	71211
428	53393	71066
429	53507	70927
430	53618	70785
431	53722	70635
432	53830	70489
433	53940	70346
434	54038	70188
435	54168	70071
436	54271	69920
437	54372	69765
438	54496	69641
439	54602	69493
440	54716	69356
441	54800	69182
442	54895	69021
443	54992	68864
444	55101	68722
445	55219	68591
446	55315	68432
447	55400	68261
448	55490	68096
449	55585	67937
450	55670	67767
451	55789	67638
452	55936	67543
453	56071	67434
454	56200	67317
455	56335	67207
456	56423	67041
457	56523	66890
458	56616	66730
459	56728	66594
460	56854	66474
461	56955	66324
462	57069	66190
463	57186	66059
464	57277	65899
465	57400	65776
466	57523	65653
467	57714	65606
468	57888	65541
469	58000	65404
470	58135	65294
471	58256	65168
472	58380	65045
473	58482	64898
474	58586	64753
475	58699	64618
476	58861	64537
477	59025	64458
478	59150	64336
479	59247	64184
480	59345	64034
481	59501	63945
482	59591	63785
483	59681	63627
484	59778	63476
485	59926	63379
486	60021	63226
487	60116	63073
488	60209	62918
489	60298	62759
490	60391	62605
491	60490	62457
492	60630	62352
493	60734	62210
494	60825	62054
495	60928	61911
496	61024	61761
497	61129	61620
498	61225	61470
499	61329	61329
500	61415	61170
501	61513	61023
502	61608	60873
503	61725	60745
504	61842	60618
505	61961	60492
506	62088	60373
507	62196	60237
508	62312	60108
509	62424	59976
510	62535	59843
511	62623	59688
512	62737	59557
513	62823	59400
514	62918	59253
515	63016	59108
516	63109	58959
517	63195	58803
518	63291	58657
519	63382	58506
520	63473	58356
521	63559	58201
522	63651	58053
523	63741	57902
524	63939	57849
525	64042	57711
526	64154	57580
527	64252	57437
528	64370	57312
529	64466	57168
530	64572	57032
531	64670	56890
532	64775	56754
533	64868	56607
534	64984	56481
535	65088	56344
536	65186	56203
537	65289	56066
538	65383	55922
539	65487	55785
540	65582	55641
541	65692	55511
542	65782	55363
543	65884	55226
544	65986	55089
545	66099	54962
546	66195	54819
547	66284	54672
548	66376	54527
549	66464	54379
550	66559	54238
551	66643	54087
552	66735	53943
553	66825	53798
554	66917	53654
555	67008	53510
556	67108	53373
557	67223	53248
558	67331	53118
559	67453	52998
560	67545	52856
561	67663	52734
562	67769	52602
563	67910	52498
564	68053	52394
565	68167	52270
566	68285	52147
567	68380	52007
568	68490	51879
569	68594	51746
570	68702	51616
571	68806	51484
572	68921	51360
573	69022	51225
574	69155	51114
575	69274	50993
576	69378	50861
577	69501	50743
578	69607	50612
579	69720	50487
580	69808	50343
581	69931	50225
582	70023	50085
583	70141	49964
584	70242	49830
585	70343	49696
586	70442	49561
587	70533	49421
588	70626	49282
589	70732	49153
590	70889	49059
591	71007	48937
592	71131	48820
593	71244	48695
594	71368	48578
595	71472	48447
596	71580	48320
597	71688	48192
598	71785	48056
599	71904	47936
600	72002	47802
601	72117	47679
602	72226	47552
603	72334	47424
604	72435	47292
605	72545	47166
606	72629	47023
607	72736	46896
608	72852	46773
609	72970	46653
610	73085	46530
611	73181	46396
612	73287	46268
613	73400	46144
614	73513	46020
615	73613	45888
616	73720	45761
617	73835	45639
618	73958	45522
619	74051	45386
620	74184	45275
621	74299	45152
622	74386	45013
623	74492	44886
624	74588	44752
625	74678	44616
626	74794	44494
627	74896	44365
628	74994	44233
629	75094	44103
630	75198	43975
631	75303	43847
632	75424	43729
633	75531	43603
634	75663	43491
635	75783	43372
636	75910	43258
637	76012	43129
638	76113	42999
639	76204	42865
640	76323	42746
641	76441	42626
642	76557	42505
643	76640	42366
644	76750	42242
645	76866	42122
646	76989	42004
647	77095	41879
648	77208	41756
649	77320	41634
650	77424	41507
651	77538	41385
652	77653	41264
653	77757	41137
654	77875	41018
655	77984	40894
656	78090	40768
657	78191	40640
658	78304	40518
659	78411	40393
660	78527	40273
661	78639	40151
662	78747	40026
663	78869	39909
664	78972	39783
665	79088	39663
666	79203	39542
667	79314	39419
668	79424	39296
669	79547	39179
670	79664	39060
671	79749	38925
672	79833	38789
673	79943	38667
674	80062	38548
675	80187	38432
676	80297	38310
677	80400	38184
678	80526	38069
679	80631	37944
680	80732	37817
681	80834	37691
682	80934	37564
683	81033	37436
684	81160	37322
685	81269	37199
686	81353	37064
687	81470	36945
688	81582	36824
689	81680	36697
690	81794	36576
691	81908	36456
692	82004	36328
693	82115	36206
694	82223	36083
695	82336	35963
696	82430	35834
697	82542	35713
698	82639	35585
699	82744	35461
700	82839	35334
701	82945	35210
702	83058	35090
703	83210	34986
704	83358	34880
705	83466	34758
706	83580	34637
707	83692	34517
708	83809	34398
709	83923	34278
710	84035	34157
711	84172	34047
712	84293	33930
713	84387	33802
714	84503	33683
715	84609	33560
716	84709	33434
717	84825	33315
718	84935	33194
719	85056	33077
720	85139	32945
721	85238	32820
722	85373	32708
723	85476	32585
724	85593	32466
725	85707	32347
726	85808	32222
727	85902	32095
728	86010	31973
729	86134	31858
730	86234	31733
731	86359	31617
732	86468	31496
733	86581	31377
734	86686	31254
735	86773	31125
736	86880	31003
737	87010	30889
738	87117	30768
739	87236	30650
740	87343	30529
741	87452	30407
742	87563	30287
743	87661	30163
744	87766	30040
745	87877	29920
746	87995	29803
747	88112	29685
748	88194	29555
749	88292	29430
750	88391	29306
751	88482	29180
752	88574	29054
753	88679	28932
754	88777	28808
755	88867	28681
756	89016	28574
757	89131	28456
758	89244	28337
759	89339	28212
760	89445	28091
761	89546	27968
762	89641	27844
763	89743	27721
764	89844	27599
765	89971	27484
766	90080	27364
767	90195	27246
768	90285	27120
769	90408	27005
770	90513	26883
771	90630	26766
772	90726	26642
773	90837	26523
774	90928	26398
775	91042	26280
776	91169	26165
777	91255	26039
778	91343	25913
779	91426	25787
780	91521	25663
781	91603	25536
782	91694	25412
783	91793	25290
784	91881	25164
785	91977	25042
786	92075	24920
787	92170	24797
788	92274	24676
789	92385	24558
790	92481	24435
791	92570	24311
792	92664	24188
793	92814	24080
794	92941	23966
795	93068	23851
796	93172	23731
797	93281	23612
798	93415	23500
799	93517	23379
800	93631	23261
801	93743	23143
802	93850	23024
803	93968	22907
804	94090	22792
805	94220	22678
806	94333	22560
807	94469	22448
808	94617	22338
809	94747	22224
810	94901	22116
811	95049	22006
812	95138	21882
813	95229	21760
814	95324	21638
815	95415	21515
816	95501	21391
817	95580	21266
818	95691	21147
819	95782	21025
820	95873	20902
821	95972	20782
822	96051	20657
823	96141	20535
824	96233	20413
825	96316	20289
826	96394	20164
827	96476	20040
828	96564	19918
829	96640	19793
830	96724	19670
831	96808	19547
832	96908	19428
833	97010	19309
834	97106	19188
835	97178	19063
836	97259	18940
837	97340	18817
838	97425	18695
839	97506	18572
840	97609	18454
841	97706	18334
842	97806	18215
843	97914	18097
844	98014	17979
845	98105	17858
846	98184	17735
847	98256	17612
848	98330	17488
849	98412	17366
850	98487	17243
851	98574	17123
852	98657	17001
853	98750	16882
854	98874	16768
855	98970	16649
856	99076	16532
857	99180	16414
858	99269	16294
859	99357	16174
860	99438	16053
861	99513	15931
862	99605	15812
863	99678	15690
864	99766	15570
865	99834	15447
866	99961	15334
867	100062	15216
868	100189	15103
869	100305	14988
870	100411	14871
871	100517	14754
872	100622	14638
873	100713	14519
874	100849	14407
875	100934	14287
876	101038	14170
877	101167	14057
878	101288	13943
879	101406	13828
880	101497	13709
881	101597	13592
882	101687	13473
883	101797	13358
884	101904	13241
885	102021	13126
886	102148	13013
887	102232	12894
888	102308	12774
889	102399	12656
890	102500	12539
891	102586	12420
892	102677	12302
893	102774	12185
894	102865	12068
895	102949	11949
896	103034	11831
897	103118	11712
898	103204	11594
899	103281	11475
900	103363	11357
901	103456	11240
902	103543	11122
903	103615	11003
904	103697	10885
905	103787	10768
906	103858	10649
907	103965	10533
908	104050	10416
909	104140	10299
910	104236	10183
911	104324	10066
912	104402	9948
913	104508	9833
914	104593	9716
915	104664	9598
916	104760	9482
917	104869	9367
918	104972	9252
919	105105	9139
920	105211	9024
921	105313	8909
922	105397	8792
923	105475	8675
924	105568	8559
925	105641	8442
926	105728	8325
927	105829	8210
928	105924	8095
929	106038	7981
930	106137	7866
931	106241	7751
932	106343	7636
933	106459	7522
934	106574	7408
935	106663	7293
936	106776	7179
937	106894	7065
938	107033	6953
939	107140	6838
940	107239	6723
941	107340	6609
942	107439	6494
943	107555	6380
944	107655	6265
945	107754	6150
946	107852	6036
947	107950	5921
948	108043	5806
949	108139	5691
950	108234	5576
951	108309	5460
952	108406	5346
953	108502	5231
954	108603	5117
955	108693	5002
956	108781	4887
957	108869	4772
958	108968	4658
959	109085	4545
960	109187	4431
961	109287	4316
962	109385	4202
963	109480	4088
964	109565	3973
965	109654	3859
966	109744	3745
967	109844	3631
968	110000	3519
969	110110	3405
970	110228	3292
971	110330	3178
972	110433	3064
973	110533	2950
974	110633	2836
975	110730	2722
976	110827	2609
977	110943	2495
978	111041	2381
979	111146	2268
980	111244	2154
981	111346	2040
982	111443	1927
983	111544	1813
984	111643	1700
985	111740	1586
986	111843	1473
987	111941	1359
988	112042	1246
989	112144	1132
990	112245	1019
991	112339	905
992	112438	792
993	112525	679
994	112622	565
995	112713	452
996	112807	339
997	112903	226
998	113003	113
999	113109	0
